Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken,Hygro_weighted,Plastic_like,Total_strain_norm,Slip_strain_norm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1.3480884,0.03889992,5.0,2500.0,0.0,1.3091885,0.0,39976.0,1.308403,0.0,0,0.0,1.3480884,0.31265345,0.009021807
1.3480884,0.03889992,5.0,2500.0,0.0,1.3091885,0.0,39976.0,1.308403,0.0,0,0.0,1.3480884,0.31265345,0.009021807
1.4358405,0.046359453,5.04,2811.0,0.080227025,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4358405,0.33300522,0.010751849
1.4599637,0.04912728,5.08,2925.0,0.10154965,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.4599637,0.33859995,0.011393773
1.4774412,0.05119422,5.12,3005.0,0.11696025,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.4774412,0.3426534,0.011873146
1.4904245,0.052386716,5.16,3052.0,0.1287511,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.4904245,0.34566453,0.012149713
1.5006088,0.05325666,5.2,3089.0,0.13806537,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5006088,0.3480265,0.012351474
1.5091739,0.054222792,5.24,3125.0,0.14566433,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5091739,0.35001296,0.012575543
1.5166332,0.055286065,5.28,3159.0,0.15206037,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5166332,0.35174295,0.01282214
1.5231022,0.056216374,5.32,3196.0,0.15759899,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5231022,0.35324326,0.013037901
1.5285902,0.056789614,5.36,3218.0,0.1625138,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5285902,0.35451606,0.013170849
1.5333323,0.05708231,5.4,3231.0,0.16696332,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5333323,0.35561588,0.013238732
1.5376935,0.05735104,5.44,3240.0,0.17105567,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5376935,0.35662735,0.013301057
1.5418705,0.05771863,5.48,3255.0,0.17486508,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5418705,0.35759607,0.01338631
1.545951,0.05822126,5.52,3275.0,0.17844303,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.545951,0.35854244,0.013502881
1.5499256,0.05881318,5.56,3296.0,0.18182564,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5499256,0.35946423,0.013640162
1.553558,0.05923247,5.6,3310.0,0.18503873,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.553558,0.36030668,0.013737405
1.557005,0.05961722,5.64,3323.0,0.18810111,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.557005,0.36110613,0.0138266375
1.5603812,0.06006758,5.68,3340.0,0.19102684,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5603812,0.36188915,0.013931086
1.563564,0.060450483,5.72,3357.0,0.19382674,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.563564,0.3626273,0.014019891
1.5665061,0.060710028,5.76,3368.0,0.19650939,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5665061,0.36330965,0.014080085
1.569498,0.061129324,5.8,3382.0,0.19908187,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.569498,0.36400354,0.01417733
1.5722306,0.06139367,5.84,3392.0,0.20155014,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5722306,0.3646373,0.014238638
1.5750122,0.061806027,5.88,3405.0,0.20391938,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5750122,0.36528242,0.0143342735
1.5776469,0.06216588,5.92,3417.0,0.20619422,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5776469,0.36589345,0.014417731
1.5799861,0.06232045,5.96,3426.0,0.20837885,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5799861,0.36643597,0.01445358
1.5822338,0.06246995,6.0,3431.0,0.21047714,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5822338,0.36695728,0.014488253
1.5844871,0.06270763,6.04,3437.0,0.2124927,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5844871,0.36747986,0.014543377
1.5866914,0.062975675,6.08,3449.0,0.21442895,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5866914,0.3679911,0.014605542
1.5887426,0.06316683,6.12,3457.0,0.21628906,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5887426,0.36846682,0.0146498745
