Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken,Hygro_weighted,Plastic_like,Total_strain_norm,Slip_strain_norm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1.3480884,0.03889992,5.0,2500.0,0.0,1.3091885,0.0,39976.0,1.308403,0.0,0,0.0,1.3480884,0.31265345,0.009021807
1.3480884,0.03889992,5.0,2500.0,0.0,1.3091885,0.0,39976.0,1.308403,0.0,0,0.0,1.3480884,0.31265345,0.009021807
1.3560817,0.0394349,5.04,2523.0,0.007458333,1.3091885,0.0,39976.0,1.308403,0.0,0,0.0,1.3560817,0.31450728,0.009145882
1.3620414,0.039888296,5.08,2541.0,0.012964599,1.3091885,0.0,39976.0,1.308403,0.0,0,0.0,1.3620414,0.31588948,0.009251035
1.366599,0.04023085,5.12,2557.0,0.017146809,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.366599,0.31694648,0.009330482
1.3701228,0.040476065,5.16,2569.0,0.020425525,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3701228,0.31776375,0.0093873525
1.3730632,0.040757895,5.2,2580.0,0.02308405,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3730632,0.31844568,0.0094527155
1.3753934,0.040859453,5.24,2584.0,0.02531266,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3753934,0.31898612,0.00947627
1.3775232,0.041062508,5.28,2595.0,0.027239436,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3775232,0.31948006,0.009523363
1.3795292,0.041357286,5.32,2606.0,0.02895076,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3795292,0.3199453,0.009591728
1.3811774,0.041451145,5.36,2611.0,0.030505037,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3811774,0.32032758,0.009613496
1.3828254,0.041662183,5.4,2620.0,0.0319419,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3828254,0.32070976,0.009662441
1.3843071,0.04179757,5.44,2626.0,0.03328837,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3843071,0.32105342,0.009693841
1.3856734,0.041889124,5.48,2630.0,0.034563024,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3856734,0.3213703,0.009715075
1.3869855,0.04198558,5.52,2634.0,0.035778724,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3869855,0.32167462,0.009737444
1.3882841,0.042118374,5.56,2640.0,0.036944516,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3882841,0.32197577,0.009768243
1.3894962,0.04220817,5.6,2644.0,0.038066845,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3894962,0.3222569,0.009789068
1.3908428,0.042471174,5.64,2654.0,0.039150428,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3908428,0.3225692,0.009850065
1.3919774,0.0425574,5.68,2657.0,0.040198777,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3919774,0.32283235,0.0098700635
1.3930705,0.04263461,5.72,2660.0,0.041214604,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3930705,0.32308584,0.00988797
1.3941075,0.042686127,5.76,2662.0,0.042200062,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3941075,0.32332635,0.009899918
1.3952085,0.04283027,5.8,2667.0,0.043156922,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3952085,0.3235817,0.009933348
1.3962111,0.042903207,5.84,2670.0,0.044086672,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3962111,0.32381424,0.009950264
1.3971694,0.042957436,5.88,2673.0,0.044990618,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3971694,0.32403648,0.009962841
1.3980881,0.04299698,5.92,2675.0,0.04586992,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3980881,0.32424957,0.009972013
1.3989788,0.043031957,5.96,2676.0,0.04672563,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3989788,0.32445613,0.009980124
1.4000067,0.043226693,6.0,2684.0,0.047558725,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4000067,0.3246945,0.010025288
1.4008636,0.04327236,6.04,2686.0,0.0483701,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4008636,0.32489327,0.01003588
1.4017525,0.043370564,6.08,2691.0,0.049160615,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4017525,0.3250994,0.010058655
1.4025306,0.043378174,6.12,2692.0,0.049931075,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4025306,0.32527986,0.01006042
