Diff,Ramp,Tau,n,m,b,R2
100.0,0.0,0.0001,5,0.14223129231053397,-0.015516276027589817,0.9871811893679266
100.0,0.0,0.001,5,0.14212532610001558,-0.016227766665158377,0.9875617652899945
100.0,0.0,0.01,5,0.1446477740241941,-0.028588599656429518,0.983049820126387
100.0,0.0,0.1,5,0.14368429921273332,-0.0393652777743382,0.9828950178988469
100.0,10.0,0.0001,5,0.1402486016666051,-0.01516857112793986,0.9872606565740204
100.0,10.0,0.001,5,0.13972584354328532,-0.015607227964312262,0.9869009631568216
100.0,10.0,0.01,5,0.14148660582444395,-0.027861118901050603,0.9839950488564388
100.0,10.0,0.1,5,0.14099082240775931,-0.038675368604625796,0.9832112591959551
100.0,30.0,0.0001,5,0.13564508659676736,-0.014469262701207151,0.9866411617296031
100.0,30.0,0.001,5,0.13577728412804793,-0.015008919721699574,0.9869817134069241
100.0,30.0,0.01,5,0.13647005456603573,-0.026973279041559613,0.9849231398864116
100.0,30.0,0.1,5,0.1348670098971009,-0.037107423450366744,0.9837109231041161
100.0,50.0,0.0001,5,0.13028736199387173,-0.013436427849920735,0.9876110408757419
100.0,50.0,0.001,5,0.12981136440264518,-0.01380371984053665,0.987311531954385
100.0,50.0,0.01,5,0.1308872214260619,-0.026102142217873457,0.9857410628723471
100.0,50.0,0.1,5,0.12867097005663267,-0.035456944650794055,0.9785890836739431
300.0,0.0,0.0001,5,0.19260340516503066,-0.025170713527003195,0.9835323347978264
300.0,0.0,0.001,5,0.19139240810963412,-0.024962400602706016,0.9833253179670433
300.0,0.0,0.01,5,0.18823504035281233,-0.034270016143913215,0.9827201018745958
300.0,0.0,0.1,5,0.1816910848450567,-0.04629275798461477,0.9830403598882336
300.0,10.0,0.0001,5,0.18757586699446416,-0.024228437720379165,0.9825403815446772
300.0,10.0,0.001,5,0.18767154984752885,-0.0243232978432681,0.9822642565882165
300.0,10.0,0.01,5,0.1835753247786195,-0.03330617040697891,0.9826752069008168
300.0,10.0,0.1,5,0.17759124943614113,-0.04532451956282169,0.9823955029330697
300.0,30.0,0.0001,5,0.17674542119078027,-0.02203601089345062,0.9836965744609071
300.0,30.0,0.001,5,0.17588046836889773,-0.021592772539062163,0.9849377290821918
300.0,30.0,0.01,5,0.1740659244166455,-0.03152543114930952,0.9828164736107191
300.0,30.0,0.1,5,0.16824293321087994,-0.043086502831567466,0.983967956579779
300.0,50.0,0.0001,5,0.16667461790718413,-0.020188579255170685,0.9848911262222987
300.0,50.0,0.001,5,0.16530066502005575,-0.019669478250571148,0.9847939702782155
300.0,50.0,0.01,5,0.16323233483213817,-0.029373156304520538,0.9848197620673116
300.0,50.0,0.1,5,0.15801260780370166,-0.040819499014683965,0.9828412623122984
1000.0,0.0,0.0001,5,0.3045206688613432,-0.04546229867394743,0.9908276069549635
1000.0,0.0,0.001,5,0.3017864287471817,-0.043754500810929166,0.9910722829233398
1000.0,0.0,0.01,5,0.2862495208313627,-0.04987794229967439,0.9911501106829329
1000.0,0.0,0.1,5,0.27027481912027485,-0.06476490998630863,0.9899586409820827
1000.0,10.0,0.0001,5,0.2943026079281426,-0.0435243956617437,0.990401810599626
1000.0,10.0,0.001,5,0.29201059266738044,-0.04184801211837481,0.9908558146001737
1000.0,10.0,0.01,5,0.2770439426919969,-0.047864801935972215,0.9911633948551842
1000.0,10.0,0.1,5,0.3549124277317103,-0.09542837675762235,0.9053422621303159
1000.0,30.0,0.0001,5,0.27329384189536005,-0.03968834704030958,0.9910623721915331
1000.0,30.0,0.001,5,0.2716367572277241,-0.03784277307173634,0.991175464956952
1000.0,30.0,0.01,5,0.2551488719830406,-0.043036978759555596,0.9895021304766627
1000.0,30.0,0.1,5,0.24098099282239485,-0.05746867626085287,0.9868668487562826
1000.0,50.0,0.0001,5,0.2483742068880081,-0.03493270799099564,0.9896314161334475
1000.0,50.0,0.001,5,0.24457041314930203,-0.032510664078275825,0.9896164425794753
1000.0,50.0,0.01,5,0.23295170266474266,-0.038274173362122875,0.9863150881315398
1000.0,50.0,0.1,5,0.2234677354111011,-0.05346868117392887,0.9867349391405835
2000.0,0.0,0.0001,5,0.3683233692729237,-0.05530940490280876,0.9924788270033268
2000.0,0.0,0.001,5,0.3664855649749838,-0.05292961123065391,0.9926586642232709
2000.0,0.0,0.01,5,0.3390198238862386,-0.058296169915356084,0.9924478235378053
2000.0,0.0,0.1,5,0.32013617680429923,-0.07634479814893827,0.9919236002815229
2000.0,10.0,0.0001,5,0.36718197761712923,-0.05549156482624134,0.9925238816376051
2000.0,10.0,0.001,5,0.3641433517282248,-0.05242705587786429,0.9924082507284256
2000.0,10.0,0.01,5,0.33588924651635305,-0.05722339893593308,0.9927657811636588
2000.0,10.0,0.1,5,0.3147349790279968,-0.07439647586854022,0.992287561159994
2000.0,30.0,0.0001,5,0.3606509272259595,-0.05468064946145929,0.9916116698588261
2000.0,30.0,0.001,5,0.35708754942834653,-0.050914138848814836,0.9918663469007662
2000.0,30.0,0.01,5,0.32940117085886894,-0.05552989273627902,0.9931943535416643
2000.0,30.0,0.1,5,0.3094318955168772,-0.07265963579655317,0.9911529624912382
2000.0,50.0,0.0001,5,0.3463534133766226,-0.052422118334949294,0.9915460833706985
2000.0,50.0,0.001,5,0.3414057897897456,-0.04869615595622361,0.9919652478378598
2000.0,50.0,0.01,5,0.31280889807823414,-0.051485333805086964,0.9923879114014865
2000.0,50.0,0.1,5,0.29589324112587007,-0.06868993890944533,0.990974004741473
3000.0,0.0,0.0001,5,0.3753552543674198,-0.05554947280748318,0.9919584813356731
3000.0,0.0,0.001,5,0.3723515163137085,-0.05176724736475231,0.9920725579938281
3000.0,0.0,0.01,5,0.3451969984632038,-0.05895937945213332,0.992230111088797
3000.0,0.0,0.1,5,0.32691560527628,-0.07869442035159274,0.9914853154592008
3000.0,10.0,0.0001,5,0.37520620613315214,-0.05578414421008708,0.9919929472033361
3000.0,10.0,0.001,5,0.3718503222481349,-0.0515012299921865,0.9921627383669183
3000.0,10.0,0.01,5,0.34345232478215965,-0.058109263749180316,0.992441484347226
3000.0,10.0,0.1,5,0.32268934467940835,-0.07705271634324082,0.9924586000061267
3000.0,30.0,0.0001,5,0.3732746527119765,-0.05564468887102087,0.9920117511055724
3000.0,30.0,0.001,5,0.36915574028923726,-0.050560726754985984,0.9924665413590169
3000.0,30.0,0.01,5,0.3388839430951227,-0.05632614532410891,0.9926808595058336
3000.0,30.0,0.1,5,0.31884310977863534,-0.07508057121926985,0.9927454904599444
3000.0,50.0,0.0001,5,0.3696702120464137,-0.055622729529586,0.9925488080319564
3000.0,50.0,0.001,5,0.36601136050413263,-0.051595847867112514,0.9925964566852253
3000.0,50.0,0.01,5,0.33363250337680445,-0.054505211221947604,0.9925678471815159
3000.0,50.0,0.1,5,0.3134122480894335,-0.07265326380262663,0.9920945192690191
