Diff,Ramp,Tau,n,m,b,R2
100.0,0.0,0.0001,5,0.13873916303887696,-0.019731824845115917,0.9866389893399892
100.0,0.0,0.001,5,0.13875305407495314,-0.020810914094124618,0.9874092460952438
100.0,0.0,0.01,5,0.13029996453734707,-0.029223811208933075,0.9235907624967461
100.0,10.0,0.0001,5,0.13593139599853288,-0.01994658109382831,0.9496985419502731
100.0,10.0,0.001,5,0.13766707777584794,-0.02209063671573994,0.960163165771393
100.0,10.0,0.01,5,0.1310327633359115,-0.03164285242452116,0.9295632878621113
100.0,30.0,0.0001,5,0.1307370839937249,-0.01801094272907169,0.9076617335760465
100.0,30.0,0.001,5,0.1323953408580783,-0.019913562757551063,0.9218228928997156
100.0,30.0,0.01,5,0.13791142957916447,-0.03680117173453737,0.9167086904227333
100.0,30.0,0.1,5,0.11761783798625146,-0.03698557655054734,0.9173768260177183
100.0,50.0,0.0001,5,0.12471534828897453,-0.01606449039986492,0.892482392262
100.0,50.0,0.001,5,0.12590668584693293,-0.017609787059987274,0.9051417711891392
100.0,50.0,0.01,5,0.13211063637990672,-0.035309816811680696,0.9112032429698815
100.0,50.0,0.1,5,0.1099164301683187,-0.033928059817238655,0.9148324281885084
300.0,0.0,0.0001,5,0.18455071556179709,-0.029318658813693797,0.9328795939857363
300.0,0.0,0.001,5,0.18246114606120473,-0.02878874792874598,0.9282851052652296
300.0,0.0,0.01,5,0.15288687980757285,-0.026085107233079028,0.7368228171469864
300.0,0.0,0.1,5,0.1447599916511037,-0.036034449833360474,0.6771606180198517
300.0,10.0,0.0001,5,0.17991612787970548,-0.029506699594541972,0.9662952176772811
300.0,10.0,0.001,5,0.1790330249914279,-0.030263249176669223,0.9700039492023744
300.0,10.0,0.01,5,0.15183861553035322,-0.029370253581640693,0.797572212181851
300.0,10.0,0.1,5,0.13903955582714786,-0.03692721849948631,0.7801339888467704
300.0,30.0,0.0001,5,0.17336345972470826,-0.028194573866094842,0.9064860153950886
300.0,30.0,0.001,5,0.17576340845382468,-0.030503654749175577,0.9166210617296418
300.0,30.0,0.01,5,0.17059518124780282,-0.04184617330772041,0.8946916528756899
300.0,30.0,0.1,5,0.15049738821382566,-0.045514096594766885,0.9116379961290544
300.0,50.0,0.0001,5,0.16245322741690293,-0.025076401273665453,0.8758415562547756
300.0,50.0,0.001,5,0.16344500894470435,-0.02662580090641326,0.8804221840860109
300.0,50.0,0.01,5,0.16701807524760268,-0.04332869490656063,0.8473306342086526
