Diff,Tau,Ramp,LoadD,LoadD_tag,is_avg,ms_nr,ms_nr_ratio,Fo_diff,Fo_visc,Slip_unload,Slip_Ratio,Mech_unload,Total_unload,Mech_Ratio,SlipCount_unload,Plastic_unload,Mech_no_Plastic,Mech_max_unload,Mech_max_ratio,Slip_end,BrokenFibers_unload,BrokenFibers_end,Slip_per_strain_unload,Slip_per_strain_end,CSV_path
100.0,0.0001,0.0,0.2,0p2,False,-0.0045455517,-0.006478115392229001,0.10723716840243021,50.29470779312352,0.0049889362,0.007110006996085528,0.0057128156,0.7016781,0.008141647288122573,1279.0,0.25346532833217966,-0.24532368104405708,0.008148954,0.011613521926934873,2130.0,39943.0,39927.0,1822.7731491121071,11976.312540599278,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p2/Tau_0.0001/all.csv
100.0,0.001,0.0,0.2,0p2,False,-0.0045728735,-0.0065129409150107625,0.10723716840243021,5.029470779312351,0.0049700574,0.007078632328318729,0.004569752,0.70212114,0.006508495101002086,1290.0,0.2533165003406677,-0.24680800523966562,0.0074508833,0.01061196263083604,2127.0,39942.0,39927.0,1837.2897873435345,11958.920013379147,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p2/Tau_0.001/all.csv
100.0,0.01,0.0,0.2,0p2,False,-0.0049136863,-0.0069590853586168865,0.10723716840243021,0.5029470779312348,0.0049647307,0.007031377791424285,-0.0062876,0.7060822,-0.008904912204273101,1281.0,0.25149736107212445,-0.26040227327639753,0.0,0.0,2139.0,39943.0,39925.0,1814.2363594493672,12045.423918675424,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p2/Tau_0.01/all.csv
100.0,0.1,0.0,0.2,0p2,False,-0.0051030563,-0.0071957797351423864,0.10723716840243021,0.05029470779312349,0.004878908,0.0068797099722423365,-0.011656136,0.7091735,-0.016436226113919934,1308.0,0.250016251312267,-0.26645247742618694,0.0,0.0,2181.0,39941.0,39919.0,1844.400559242555,12300.844477507391,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p2/Tau_0.1/all.csv
100.0,0.0001,0.0,0.25,0p25,False,,,0.10723716840243021,50.29470779312352,0.011379353,0.013596047077018218,0.012294651,0.8369604,0.014689644814736754,1691.0,0.21402163113093522,-0.19933198631619847,0.022807127,0.027249947548294996,2953.0,39936.0,39914.0,2020.4062223254527,16485.452300128127,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p25/Tau_0.0001/all.csv
100.0,0.001,0.0,0.25,0p25,False,,,0.10723716840243021,5.029470779312351,0.011363173,0.013569263119506157,0.011284649,0.83742005,0.013475494168070135,1692.0,0.21386514449946595,-0.2003896503313958,0.022743603,0.027159133579378714,2956.0,39936.0,39914.0,2020.4913889988663,16505.210420215062,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p25/Tau_0.001/all.csv
100.0,0.01,0.0,0.25,0p25,False,,,0.10723716840243021,0.5029470779312348,0.011152568,0.01324094995938042,-0.0011966688,0.84227854,-0.0014207518572181596,1634.0,0.21216101504853727,-0.21358176690575542,0.019178055,0.022769255168248737,2928.0,39939.0,39913.0,1939.9758184507466,16385.124746591566,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p25/Tau_0.01/all.csv
100.0,0.1,0.0,0.25,0p25,False,,,0.10723716840243021,0.05029470779312349,0.010933259,0.01292067298885797,-0.0094522545,0.8461834,-0.011170456073706952,1701.0,0.210739657620322,-0.22191011369402897,0.01202034,0.014205360209146149,2985.0,39933.0,39906.0,2010.2025163812004,16739.156279230436,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p25/Tau_0.1/all.csv
100.0,0.0001,0.0,0.3,0p3,False,-0.0015681298,-0.0016088191530809989,0.10723716840243021,50.29470779312352,0.01795841,0.018424389337465142,0.01912278,0.97470856,0.01961897205458009,2258.0,0.1859896049338071,-0.166370632879227,0.02215834,0.022733297838278963,3955.0,39922.0,39894.0,2316.5898943167176,21816.397391829007,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p3/Tau_0.0001/all.csv
100.0,0.001,0.0,0.3,0p3,False,-0.0015621681,-0.0016017835714679015,0.10723716840243021,5.029470779312351,0.0179477,0.018402840901458974,0.01738062,0.9752679,0.01782138015616017,2253.0,0.1858828943308808,-0.16806151417472062,0.02119313,0.02173057269699946,3976.0,39923.0,39892.0,2310.1344768960407,21932.241509282423,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p3/Tau_0.001/all.csv
